Depth (ft)	Density (g/cc)	t_compressional (micros/ft)	t_shear (micros/ft)
5254	2.611	72.3836	132.6267
5254.5	2.5976	72.4865	130.0142
5255	2.5955	72.7842	129.5945
5255.5	2.5886	72.9202	132.9716
5256	2.6177	72.8816	131.4023
5256.5	2.5901	72.6639	131.2218
5257	2.5721	71.9434	127.0411
5257.5	2.6009	71.3189	124.0789
5258	2.5923	67.9795	122.8849
5258.5	2.595	65.8722	116.0095
5259	2.6188	63.6673	112.2448
5259.5	2.6054	60.7321	112.5746
5260	2.6103	58.179	105.9219
5260.5	2.6312	56.448	96.4271
5261	2.6642	55.1671	92.8518
5261.5	2.7234	54.0926	93.8302
5262	2.7262	54.8011	93.3445
5262.5	2.6461	55.6421	91.8497
5263	2.6378	56.2828	90.7374
5263.5	2.6496	57.7668	97.2439
5264	2.6681	58.514	100.6003
5264.5	2.6522	58.8157	96.759
5265	2.633	59.5449	101.5898
5265.5	2.6216	59.3279	100.8434
5266	2.6225	59.9775	100.0975
5266.5	2.6346	59.9761	99.9682
5267	2.6328	59.1095	98.0229
5267.5	2.64	58.2408	96.6746
5268	2.5804	57.8396	103.2067
5268.5	2.63	59.1266	107.7531
5269	2.6242	61.3458	115.5114
5269.5	2.7265	63.6352	118.2708
5270	2.6731	65.7535	122.518
5270.5	2.6242	67.7144	121.5748
5271	2.6329	67.0669	118.5642
5271.5	2.6321	64.1366	117.6584
5272	2.6341	62.1099	113.4849
5272.5	2.6297	61.3847	112.8548
5273	2.6387	62.3143	111.5389
5273.5	2.7273	64.2225	111.6536
5274	2.7003	65.8646	113.3819
5274.5	2.6115	68.4385	114.3161
5275	2.6089	68.7745	119.0208
5275.5	2.6035	67.5095	120.3392
5276	2.6064	65.7249	119.6026
5276.5	2.582	63.7478	113.004
5277	2.5867	62.5745	113.486
5277.5	2.5837	62.9193	113.4384
5278	2.5959	62.179	110.6706
5278.5	2.6406	64.1035	107.3615
5279	2.6484	65.2446	109.1034
5279.5	2.6118	66.7362	111.8719
5280	2.6261	68.6444	112.5593
5280.5	2.5844	67.3215	112.367
5281	2.5951	66.5523	111.9736
5281.5	2.5974	64.8702	107.6441
5282	2.5777	59.5775	95.8828
5282.5	2.5606	57.0456	95.0925
5283	2.6412	55.1871	93.0527
5283.5	2.702	53.7816	93.6994
5284	2.6857	53.762	86.8867
5284.5	2.6276	55.1262	88.1569
5285	2.645	54.4612	91.7235
5285.5	2.6511	54.3124	90.0884
5286	2.6369	53.9182	88.3181
5286.5	2.6721	54.1402	89.2835
5287	2.6752	55.2618	91.3558
5287.5	2.6218	57.695	144.4198
5288	2.6265	59.5695	127.5653
5288.5	2.6294	60.5059	112.2707
5289	2.6894	63.6016	116.3659
5289.5	2.6452	64.4557	125.5082
5290	2.622	64.5328	128.6028
5290.5	2.5893	65.1659	98.631
5291	2.61	65.4158	99.1624
5291.5	2.6102	65.6417	111.7458
5292	2.6294	65.9307	119.1852
5292.5	2.6412	67.0944	124.9871
