Depth (ft)	Density (g/cc)	t_compressional (micros/ft)	t_shear (micros/ft)
6114.5	2.7074	47.9237	93.4548
6115	2.7089	48.1147	93.4915
6115.5	2.7232	47.991	92.9127
6116	2.7399	48.0056	93.7629
6116.5	2.7245	47.8767	93.4903
6117	2.7179	47.8058	92.597
6117.5	2.7024	47.7945	92.4244
6118	2.704	47.8879	92.6581
6118.5	2.7276	48.1801	94.7176
6119	2.7202	48.4563	94.4596
6119.5	2.7156	48.2172	91.8342
6120	2.7096	48.25	94.6131
6120.5	2.7158	48.201	94.14
6121	2.7002	48.0842	92.5766
6121.5	2.7063	47.9824	92.8809
6122	2.696	47.702	92.7903
6122.5	2.7028	47.5711	89.5138
6123	2.7107	47.5036	92.0026
6123.5	2.7108	47.5574	92.3381
6124	2.7198	47.7242	93.1133
6124.5	2.7083	47.7297	92.6563
6125	2.7107	47.8173	93.2142
6125.5	2.704	47.8915	94.9097
6126	2.7019	47.8206	94.9097
6126.5	2.7046	47.717	91.6084
6127	2.7063	47.7084	94.3613
6127.5	2.7096	47.6874	90.3991
6128	2.7173	47.7513	93.2583
6128.5	2.7138	47.7408	91.6902
6129	2.7213	47.7923	92.5736
6129.5	2.7205	47.791	90.0982
6130	2.695	47.7532	89.8149
6130.5	2.7014	47.4794	91.4271
6131	2.7245	47.4489	90.1433
6131.5	2.7235	47.2972	91.8448
6132	2.7187	46.552	91.0295
6132.5	2.7197	46.4875	92.4243
6133	2.7249	46.5811	93.9983
6133.5	2.7225	47.3205	91.1789
6134	2.7173	47.4054	93.737
6134.5	2.7116	47.608	93.1906
6135	2.7183	47.7136	92.9433
6135.5	2.7321	47.6904	93.7342
6136	2.7178	47.7754	93.3233
6136.5	2.717	47.7644	91.1377
6137	2.7257	47.7923	94.7924
6137.5	2.7152	47.7818	94.3722
6138	2.7057	47.7806	94.6202
6138.5	2.7	47.8329	94.1042
6139	2.7032	47.8226	93.3197
6139.5	2.7183	47.7528	93.6128
6140	2.7215	47.7019	93.0299
6140.5	2.7334	47.5676	93.254
6141	2.7525	47.5965	94.0417
6141.5	2.7463	47.5866	93.111
6142	2.7327	47.6123	93.8365
6142.5	2.7403	47.6492	94.3835
6143	2.7534	47.5902	94.6606
6143.5	2.75	47.6433	95.0127
6144	2.7508	47.5789	94.6745
6144.5	2.7282	47.4885	95.2252
6145	2.7266	47.5207	94.8067
6145.5	2.7129	47.6121	94.8105
6146	2.7201	47.6052	94.919
6146.5	2.7254	47.6148	95.1687
6147	2.7248	47.613	95.1687
6147.5	2.7333	47.5166	95.1687
6148	2.7535	47.0507	95.1687
6148.5	2.7456	46.9126	95.1687
6149	2.7207	46.7725	95.1687
6149.5	2.7166	46.7841	95.1687
6150	2.6673	46.8518	95.1687
6150.5	2.7251	46.9309	95.1687
6151	2.7515	47.0692	95.1687
6151.5	2.7389	47.3902	95.1687
6152	2.757	47.4253	95.1687
6152.5	2.7575	47.4445	95.1687
6153	2.8188	47.4431	95.1687
6153.5	2.8477	47.4527	95.1687
6154	2.8473	47.4709	95.1687
6154.5	2.8343	47.4767	95.1687
6155	2.8404	47.506	95.1687
6155.5	2.7685	47.5256	95.1687
6156	2.7422	47.524	95.1687
6156.5	2.7103	47.5294	95.1687
6157	2.7216	47.5272	95.1687
6157.5	2.7016	47.5257	95.1687
6158	2.7211	47.5222	95.1687
6158.5	2.7129	47.5307	95.1687
6159	2.7168	47.5318	95.1687
6159.5	2.7245	47.5318	95.1687
6160	2.7456	47.5318	95.1687
6160.5	2.726	47.5318	95.1687
6161	2.7269	47.5318	95.1687
6161.5	2.731	47.5318	95.1687
6162	2.7142	47.5318	95.1687
6162.5	2.705	47.5318	95.1687
6163	2.7319	47.5318	95.1687
6163.5	2.7249	47.5318	95.1687
6164	2.7277	47.5318	95.1687
6164.5	2.7191	47.5318	95.1687
6165	2.7151	47.5318	95.1687
6165.5	2.7187	47.5318	95.1687
6166	2.7253	47.5318	95.1687
6166.5	2.7073	47.5318	95.1687
6167	2.7059	47.5318	95.1687
6167.5	2.6937	47.5318	95.1687
6168	2.7059	47.5318	95.1687
6168.5	2.7014	47.5318	95.1687
6169	2.7043	47.5318	95.1687
6169.5	2.7007	47.5318	95.1687
6170	2.6953	47.5318	95.1687
6170.5	2.7172	47.5318	95.1687
6171	2.7149	47.5318	95.1687
6171.5	2.7165	47.5318	95.1687
6172	2.737	47.5318	95.1687
6172.5	2.6448	47.5318	95.1687
6173	2.5442	47.5318	95.1687
6173.5	2.3275	47.5318	95.1687
6174	1.4253	47.5318	95.1687
6174.5	1.9579	47.5318	95.1687
6175	2.0585	47.5318	95.1687
6175.5	2.0592	47.5318	95.1687
6176	2.063	47.5318	95.1687
6176.5	2.0699	47.5318	95.1687
6177	2.084	47.5318	95.1687
6177.5	2.0946	47.5318	95.1687
6178	2.0913	47.5318	95.1687
6178.5	2.0844	47.5561	95.1687
6179	2.0899	47.6354	95.1687
6179.5	2.0869	47.593	95.1687
6180	2.0695	47.722	95.1687
6180.5	2.0843	48.3588	95.1687
6181	2.0974	47.5318	95.1687
6181.5	2.1225	47.5318	95.1687
6182	2.1057	47.5318	95.1687
6182.5	2.0815	47.5318	95.1687
6183	2.0808	47.5318	95.1687
6183.5	2.0315	47.5318	95.1687
6184	2.0565	47.5318	95.1687
6184.5	2.0624	47.5318	95.1687
6185	2.0648	47.5318	95.1687
6185.5	2.065	47.5318	95.1687
6186	2.065	47.5318	95.1687
6186.5	2.065	47.5318	95.1687
6187	2.065	47.5318	95.1687
6187.5	2.065	47.5318	95.1687
6188	2.065	47.5318	95.1687
6188.5	2.065	47.5318	95.1687
6189	2.065	47.5318	95.1687
6189.5	2.065	47.5318	95.1687
6190	2.0651	47.5318	95.1687
6190.5	2.0653	47.5318	95.1687
6191	2.0663	47.5318	95.1687
6191.5	2.0703	47.5318	95.1687
6192	2.0857	47.5318	95.1687
6192.5	2.1434	47.5318	95.1687
6193	2.3314	47.5318	95.1687
6193.5	2.6056	47.5318	95.1687
6194	2.6056	47.5318	95.1687
6194.5	2.6056	47.5318	95.1687
6195	2.6056	47.5318	95.1687
