depthft	density_gcc	s_v	hydrostatic_pres	porosity1	porosity2	eff_v_stress
3856	2.204	18.311	11.518	0.312	0.292	6.793
3857	2.202	18.317	11.521	0.312	0.293	6.796
3858	2.206	18.324	11.524	0.312	0.291	6.8
3859	2.218	18.331	11.527	0.312	0.284	6.804
3860	2.224	18.337	11.53	0.312	0.28	6.807
3861	2.244	18.344	11.533	0.312	0.268	6.811
3862	2.246	18.351	11.536	0.312	0.267	6.815
3863	2.226	18.357	11.539	0.312	0.279	6.818
3864	2.238	18.364	11.542	0.312	0.272	6.822
3865	2.262	18.371	11.545	0.312	0.258	6.826
3866	2.274	18.378	11.548	0.312	0.251	6.83
3867	2.255	18.384	11.551	0.312	0.262	6.833
3868	2.242	18.391	11.554	0.312	0.269	6.837
3869	2.218	18.398	11.557	0.312	0.284	6.841
3870	2.228	18.404	11.56	0.312	0.278	6.844
3871	2.212	18.411	11.563	0.312	0.287	6.848
3872	2.214	18.418	11.566	0.311	0.286	6.852
3873	2.196	18.424	11.569	0.311	0.296	6.855
3874	2.215	18.431	11.572	0.311	0.285	6.859
3875	2.226	18.437	11.575	0.311	0.279	6.863
3876	2.236	18.444	11.578	0.311	0.273	6.866
3877	2.26	18.451	11.581	0.311	0.259	6.87
3878	2.254	18.457	11.584	0.311	0.262	6.874
3879	2.25	18.464	11.587	0.311	0.265	6.877
3880	2.276	18.471	11.59	0.311	0.249	6.881
3881	2.3	18.478	11.593	0.311	0.235	6.885
3882	2.286	18.485	11.596	0.311	0.244	6.889
3883	2.29	18.492	11.599	0.311	0.241	6.893
3884	2.27	18.498	11.602	0.311	0.253	6.897
3885	2.258	18.505	11.605	0.311	0.26	6.9
3886	2.268	18.512	11.608	0.311	0.254	6.904
3887	2.282	18.519	11.611	0.311	0.246	6.908
3888	2.3	18.526	11.614	0.311	0.235	6.912
3889	2.308	18.532	11.617	0.311	0.231	6.916
3890	2.287	18.539	11.62	0.311	0.243	6.92
3891	2.276	18.546	11.623	0.311	0.249	6.923
3892	2.282	18.553	11.626	0.311	0.246	6.927
3893	2.286	18.56	11.629	0.311	0.244	6.931
3894	2.258	18.566	11.632	0.311	0.26	6.935
3895	2.254	18.573	11.635	0.311	0.262	6.939
3896	2.21	18.58	11.638	0.311	0.288	6.942
3897	2.227	18.586	11.64	0.311	0.278	6.946
3898	2.246	18.593	11.643	0.311	0.267	6.95
3899	2.268	18.6	11.646	0.311	0.254	6.953
3900	2.236	18.607	11.649	0.31	0.273	6.957
3901	2.22	18.613	11.652	0.31	0.282	6.961
3902	2.244	18.62	11.655	0.31	0.268	6.965
3903	2.254	18.627	11.658	0.31	0.262	6.968
3904	2.26	18.633	11.661	0.31	0.259	6.972
3905	2.25	18.64	11.664	0.31	0.265	6.976
3906	2.239	18.647	11.667	0.31	0.271	6.979
3907	2.218	18.653	11.67	0.31	0.284	6.983
3908	2.254	18.66	11.673	0.31	0.262	6.987
3909	2.246	18.667	11.676	0.31	0.267	6.991
3910	2.242	18.674	11.679	0.31	0.269	6.994
3911	2.238	18.68	11.682	0.31	0.272	6.998
3912	2.238	18.687	11.685	0.31	0.272	7.002
3913	2.252	18.694	11.688	0.31	0.264	7.005
3914	2.262	18.7	11.691	0.31	0.258	7.009
3915	2.268	18.707	11.694	0.31	0.254	7.013
3916	2.27	18.714	11.697	0.31	0.253	7.017
3917	2.274	18.721	11.7	0.31	0.251	7.021
3918	2.248	18.728	11.703	0.31	0.266	7.024
3919	2.25	18.734	11.706	0.31	0.265	7.028
