depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
6161.0	2.727	46.863	18.403	-0.016	26.724
6161.5	2.731	46.867	18.405	-0.018	26.764
6162.0	2.714	46.871	18.406	-0.008	26.599
6162.5	2.705	46.875	18.408	-0.003	26.509
6163.0	2.732	46.879	18.409	-0.019	26.773
6163.5	2.725	46.883	18.411	-0.015	26.704
6164.0	2.728	46.887	18.412	-0.016	26.731
6164.5	2.719	46.891	18.414	-0.011	26.647
6165.0	2.715	46.895	18.415	-0.009	26.608
6165.5	2.719	46.899	18.417	-0.011	26.643
6166.0	2.725	46.903	18.418	-0.015	26.708
6166.5	2.707	46.908	18.42	-0.004	26.532
6167.0	2.706	46.912	18.421	-0.003	26.518
6167.5	2.694	46.916	18.423	0.004	26.398
6168.0	2.706	46.92	18.424	-0.003	26.518
