depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
3809	2.154	18.002	11.378	0.321	21.109
3810	2.158	18.008	11.381	0.319	21.148
3811	2.212	18.015	11.384	0.287	21.678
3812	2.196	18.022	11.387	0.296	21.521
3813	2.139	18.028	11.39	0.33	20.962
3814	2.118	18.034	11.393	0.342	20.756
3815	2.118	18.041	11.396	0.342	20.756
3816	2.132	18.047	11.399	0.334	20.894
3817	2.148	18.053	11.402	0.325	21.05
3818	2.18	18.06	11.405	0.306	21.364
3819	2.172	18.066	11.408	0.311	21.286
3820	2.198	18.073	11.41	0.295	21.54
3821	2.21	18.08	11.413	0.288	21.658
3822	2.224	18.086	11.416	0.28	21.795
3823	2.236	18.093	11.419	0.273	21.913
3824	2.234	18.1	11.422	0.274	21.893
3825	2.23	18.106	11.425	0.276	21.854
3826	2.226	18.113	11.428	0.279	21.815
3827	2.182	18.119	11.431	0.305	21.384
3828	2.166	18.126	11.434	0.314	21.227
3829	2.19	18.132	11.437	0.3	21.462
3830	2.178	18.139	11.44	0.307	21.344
3831	2.142	18.145	11.443	0.328	20.992
3832	2.212	18.152	11.446	0.287	21.678
3833	2.228	18.159	11.449	0.278	21.834
3834	2.188	18.165	11.452	0.301	21.442
3835	2.178	18.172	11.455	0.307	21.344
3836	2.188	18.178	11.458	0.301	21.442
3837	2.19	18.185	11.461	0.3	21.462
3838	2.224	18.191	11.464	0.28	21.795
3839	2.246	18.198	11.467	0.267	22.011
3840	2.224	18.205	11.47	0.28	21.795
3841	2.264	18.211	11.473	0.256	22.187
3842	2.236	18.218	11.476	0.273	21.913
3843	2.25	18.225	11.479	0.265	22.05
3844	2.234	18.232	11.482	0.274	21.893
3845	2.236	18.238	11.485	0.273	21.913
3846	2.218	18.245	11.488	0.284	21.736
3847	2.206	18.251	11.491	0.291	21.619
3848	2.23	18.258	11.494	0.276	21.854
3849	2.218	18.265	11.497	0.284	21.736
3850	2.207	18.271	11.5	0.29	21.629
3851	2.166	18.278	11.503	0.314	21.227
3852	2.194	18.284	11.506	0.298	21.501
3853	2.215	18.291	11.509	0.285	21.707
3854	2.234	18.298	11.512	0.274	21.893
3855	2.218	18.304	11.515	0.284	21.736
3856	2.204	18.311	11.518	0.292	21.599
3857	2.202	18.317	11.521	0.293	21.58
3858	2.206	18.324	11.524	0.291	21.619
3859	2.218	18.331	11.527	0.284	21.736
3860	2.224	18.337	11.53	0.28	21.795
3861	2.244	18.344	11.533	0.268	21.991
3862	2.246	18.351	11.536	0.267	22.011
3863	2.226	18.357	11.539	0.279	21.815
3864	2.238	18.364	11.542	0.272	21.932
3865	2.262	18.371	11.545	0.258	22.168
3866	2.274	18.378	11.548	0.251	22.285
3867	2.255	18.384	11.551	0.262	22.099
3868	2.242	18.391	11.554	0.269	21.972
3869	2.218	18.398	11.557	0.284	21.736
3870	2.228	18.404	11.56	0.278	21.834
3871	2.212	18.411	11.563	0.287	21.678
3872	2.214	18.418	11.566	0.286	21.697
3873	2.196	18.424	11.569	0.296	21.521
3874	2.215	18.431	11.572	0.285	21.707
3875	2.226	18.437	11.575	0.279	21.815
3876	2.236	18.444	11.578	0.273	21.913
3877	2.26	18.451	11.581	0.259	22.148
3878	2.254	18.457	11.584	0.262	22.089
